Neigh,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr,CSA2020
"Allendale, Carroll-South Hilton, Gwynns Falls, Irvington, Saint Josephs, Uplands, Yale Heights, Lower Edmondson Village","13","13",-1433,432,1865,-5222,-401.692307692308,-350,556.665675748212,-1433,-1433,-630,-99,531,Allendale/Irvington/S. Hilton
"Beechfield, Hunting Ridge, Ten Hills, Tremont, West Hills, Westgate","9","9",-1289,432,1721,-1944,-216,-204,521.624172923167,-1289,-1289,-507,140,647,Beechfield/Ten Hills/West Hills
"Belair-Edison, Clifton Park, Four By Four, Mayfield, Herring Run Park","12","12",-887,832,1719,-2087,-173.916666666667,-239.5,471.488681082472,-887,-887,-543,110,653,Belair-Edison
"Brooklyn, Curtis Bay, Fairfield Area, Hawkins Point, Curtis Bay Industrial Area","4","4",-1224,433,1657,-1759,-439.75,-484,672.22480428797,-1224,-1224,-1085,205.5,1290.5,Brooklyn/Curtis Bay/Hawkins Point
"Canton, Patterson Park","12","12",-542,1047,1589,147,12.25,-67.5,429.902338715822,-542,-542,-239,168.5,407.5,Canton
"Cedonia, Frankford, Cedmont, Parkside","15","15",-620,832,1452,329,21.9333333333333,3,448.371790172199,-620,-620,-332.5,365,697.5,Cedonia/Frankford
"Cherry Hill, Middle Branch/Reedbird Parks","5","5",-555,383,938,-511,-102.2,-150,308.840023313041,-555,-555,-225,36,261,Cherry Hill
"Cameron Village, Chinquapin Park, Lake Walker, Mid-Govans, Belvedere, Evesham Park","6","6",-318,1048,1366,1808,301.333333333333,184,481.089966176344,-318,-318,-68,778,846,Chinquapin Park/Belvedere
"Armistead Gardens, Claremont-Freedom (now Orchard Ridge), Orchard Ridge","10","10",-887,668,1555,-1360,-136,-302,467.237626909477,-887,-887,-408,281,689,Orchard Ridge/Armistead
"Berea, Biddle Street, Broadway East, Darley Park, South Clifton Park","15","15",-994,449,1443,-5633,-375.533333333333,-385,373.86947217207,-994,-994,-557.5,-168.5,389,Clifton-Berea
"Cheswolde, Cross Country","7","7",-680,263,943,-1005,-143.571428571429,-222,338.694492402332,-680,-680,-362.5,179.5,542,Cross-Country/Cheswolde
"Dickeyville, Franklintown, Purnell, Wakefield","7","7",-507,1358,1865,1310,187.142857142857,38,640.503915137232,-507,-507,-337.5,548,885.5,Dickeyville/Franklintown
"Ashburton, Callaway-Garrison, Central Forest Park, Dolfield, Dorchester, East Arlington","11","11",-471,822,1293,1724,156.727272727273,181,415.193731540764,-471,-471,-197,473,670,Dorchester/Ashburton
"Downtown, Seton Hill, University of Maryland","13","13",-699,1353,2052,1649,126.846153846154,30,556.258911237709,-699,-699,-183,289,472,Downtown/Seton Hill
"Edmondson Village, Rognel Heights, Gwynns Falls/Leakin Park, Edgewood","9","9",-2044,274,2318,-3869,-429.888888888889,-350,621.847327537421,-2044,-2044,-480,-125,355,Edmondson Village
"Butcher's Hill, Fells Point, Upper Fells Point","8","8",-497,586,1083,403,50.375,41,309.260382808726,-497,-497,-147,263,410,Fells Point
"Concerned Citizens Of Forest Park, Fairmont, Forest Park, Garwyn Oaks, Mount Holly, West Forest Park, Windsor Hills","11","11",-2044,1358,3402,936,85.0909090909091,274,841.814431564393,-2044,-2044,-216.5,473,689.5,Forest Park/Walbrook
"Fallstaff, Glen, Reisterstown Station, Woodmere","13","13",-1217,691,1908,-3836,-295.076923076923,-222,594.058849912838,-1217,-1217,-680,99,779,Glen-Fallstaff
"Abell, Barclay, Charles Village, Harwood, Oakenshawe, Johns Hopkins Homewood, Old Goucher","13","13",-1159,664,1823,-2802,-215.538461538462,-217,468.699939338693,-1159,-1159,-463,186,649,Greater Charles Village/Barclay
"Kenilworth Park, Pen Lucy, Richnor Springs, Wilson Park, Winston-Govans, Woodbourne-McCabe, Wrenlane","9","9",-652,778,1430,1488,165.333333333333,160,433.488433781367,-652,-652,-68,517,585,Greater Govans
"Burleith-Leighton, Hanlon-Longwood, Liberty Square, Mondawmin, Panway/Braddish Avenue, Walbrook","12","12",-1220,455,1675,-2653,-221.083333333333,-242.5,425.269808147983,-1220,-1220,-420.5,52,472.5,Greater Mondawmin
"Cross Keys, Evergreen, Keswick, North Roland Park/Poplar Hill, Roland Park, Wyndhurst","9","9",-466,944,1410,965,107.222222222222,99,429.705009351448,-466,-466,-202,358,560,Greater Roland Park/Poplar Hill
