fid,GEOID,Name,Current,Pop_Decennial,Pop_Change,Pop Change,Year,Population
193,24510280302,"Census Tract 2803.02, Baltimore city, Maryland",3640,2282,1358,1358,2010,617784
11,24510040100,"Census Tract 401, Baltimore city, Maryland",5359,4006,1353,1353,2021,589157
155,24510270402,"Census Tract 2704.02, Baltimore city, Maryland",4317,3229,1088,1088,,
44,24510110200,"Census Tract 1102, Baltimore city, Maryland",6126,5072,1054,1054,,
163,24510270802,"Census Tract 2708.02, Baltimore city, Maryland",6040,4992,1048,1048,,
143,24510260605,"Census Tract 2606.05, Baltimore city, Maryland",5842,4795,1047,1047,,
30,24510080800,"Census Tract 808, Baltimore city, Maryland",2319,1281,1038,1038,,
146,24510260900,"Census Tract 2609, Baltimore city, Maryland",3624,2652,972,972,,
173,24510271102,"Census Tract 2711.02, Baltimore city, Maryland",5469,4525,944,944,,
132,24510260202,"Census Tract 2602.02, Baltimore city, Maryland",6769,5937,832,832,,
191,24510280200,"Census Tract 2802, Baltimore city, Maryland",5650,4828,822,822,,
111,24510240100,"Census Tract 2401, Baltimore city, Maryland",3490,2699,791,791,,
166,24510270805,"Census Tract 2708.05, Baltimore city, Maryland",5730,4952,778,778,,
190,24510280102,"Census Tract 2801.02, Baltimore city, Maryland",6736,6045,691,691,,
16,24510060400,"Census Tract 604, Baltimore city, Maryland",1863,1183,680,680,,
138,24510260402,"Census Tract 2604.02, Baltimore city, Maryland",3316,2648,668,668,,
50,24510120500,"Census Tract 1205, Baltimore city, Maryland",2417,1751,666,666,,
33,24510090300,"Census Tract 903, Baltimore city, Maryland",4867,4203,664,664,,
8,24510020300,"Census Tract 203, Baltimore city, Maryland",3930,3344,586,586,,
131,24510260201,"Census Tract 2602.01, Baltimore city, Maryland",5692,5116,576,576,,
20,24510070400,"Census Tract 704, Baltimore city, Maryland",1777,1241,536,536,,
144,24510260700,"Census Tract 2607, Baltimore city, Maryland",2791,2260,531,531,,
53,24510130100,"Census Tract 1301, Baltimore city, Maryland",3134,2613,521,521,,
169,24510270903,"Census Tract 2709.03, Baltimore city, Maryland",5120,4603,517,517,,
76,24510151000,"Census Tract 1510, Baltimore city, Maryland",5705,5214,491,491,,
176,24510271400,"Census Tract 2714, Baltimore city, Maryland",4201,3730,471,471,,
77,24510151100,"Census Tract 1511, Baltimore city, Maryland",7027,6572,455,455,,
136,24510260303,"Census Tract 2603.03, Baltimore city, Maryland",1227,778,449,449,,
125,24510250401,"Census Tract 2504.01, Baltimore city, Maryland",4256,3823,433,433,,
197,24510280404,"Census Tract 2804.04, Baltimore city, Maryland",2699,2267,432,432,,
115,24510250101,"Census Tract 2501.01, Baltimore city, Maryland",4052,3626,426,426,,
12,24510040200,"Census Tract 402, Baltimore city, Maryland",1222,838,384,384,,
119,24510250204,"Census Tract 2502.04, Baltimore city, Maryland",4508,4125,383,383,,
161,24510270703,"Census Tract 2707.03, Baltimore city, Maryland",3279,2898,381,381,,
174,24510271200,"Census Tract 2712, Baltimore city, Maryland",6461,6103,358,358,,
74,24510150800,"Census Tract 1508, Baltimore city, Maryland",4577,4223,354,354,,
167,24510270901,"Census Tract 2709.01, Baltimore city, Maryland",4395,4043,352,352,,
152,24510270301,"Census Tract 2703.01, Baltimore city, Maryland",3489,3148,341,341,,
106,24510210200,"Census Tract 2102, Baltimore city, Maryland",3681,3373,308,308,,
10,24510030200,"Census Tract 302, Baltimore city, Maryland",2631,2342,289,289,,
114,24510240400,"Census Tract 2404, Baltimore city, Maryland",2856,2571,285,285,,
135,24510260302,"Census Tract 2603.02, Baltimore city, Maryland",6375,6094,281,281,,
108,24510230100,"Census Tract 2301, Baltimore city, Maryland",2231,1953,278,278,,
48,24510120300,"Census Tract 1203, Baltimore city, Maryland",3829,3552,277,277,,
88,24510160802,"Census Tract 1608.02, Baltimore city, Maryland",3319,3045,274,274,,
185,24510272004,"Census Tract 2720.04, Baltimore city, Maryland",4051,3788,263,263,,
184,24510272003,"Census Tract 2720.03, Baltimore city, Maryland",6077,5817,260,260,,
41,24510100200,"Census Tract 1002, Baltimore city, Maryland",3020,2767,253,253,,
5,24510010500,"Census Tract 105, Baltimore city, Maryland",1961,1724,237,237,,
107,24510220100,"Census Tract 2201, Baltimore city, Maryland",4238,4025,213,213,,
110,24510230300,"Census Tract 2303, Baltimore city, Maryland",1342,1136,206,206,,
175,24510271300,"Census Tract 2713, Baltimore city, Maryland",2995,2791,204,204,,
49,24510120400,"Census Tract 1204, Baltimore city, Maryland",1508,1313,195,195,,
57,24510130600,"Census Tract 1306, Baltimore city, Maryland",3772,3586,186,186,,
72,24510150701,"Census Tract 1507.01, Baltimore city, Maryland",1877,1696,181,181,,
170,24510271001,"Census Tract 2710.01, Baltimore city, Maryland",2458,2298,160,160,,
89,24510170100,"Census Tract 1701, Baltimore city, Maryland",1755,1602,153,153,,
116,24510250102,"Census Tract 2501.02, Baltimore city, Maryland",3050,2910,140,140,,
61,24510130805,"Census Tract 1308.05, Baltimore city, Maryland",1123,985,138,138,,
168,24510270902,"Census Tract 2709.02, Baltimore city, Maryland",4877,4754,123,123,,
133,24510260203,"Census Tract 2602.03, Baltimore city, Maryland",2945,2830,115,115,,
62,24510130806,"Census Tract 1308.06, Baltimore city, Maryland",1544,1431,113,113,,
129,24510260101,"Census Tract 2601.01, Baltimore city, Maryland",4870,4763,107,107,,
4,24510010400,"Census Tract 104, Baltimore city, Maryland",2970,2870,100,100,,
177,24510271501,"Census Tract 2715.01, Baltimore city, Maryland",4282,4183,99,99,,
19,24510070300,"Census Tract 703, Baltimore city, Maryland",1115,1042,73,73,,
153,24510270302,"Census Tract 2703.02, Baltimore city, Maryland",1812,1764,48,48,,
24,24510080301,"Census Tract 803.01, Baltimore city, Maryland",2123,2084,39,39,,
192,24510280301,"Census Tract 2803.01, Baltimore city, Maryland",4139,4101,38,38,,
122,24510250207,"Census Tract 2502.07, Baltimore city, Maryland",2095,2059,36,36,,
105,24510210100,"Census Tract 2101, Baltimore city, Maryland",2160,2130,30,30,,
93,24510190100,"Census Tract 1901, Baltimore city, Maryland",1922,1895,27,27,,
82,24510160300,"Census Tract 1603, Baltimore city, Maryland",1578,1558,20,20,,
178,24510271503,"Census Tract 2715.03, Baltimore city, Maryland",876,856,20,20,,
165,24510270804,"Census Tract 2708.04, Baltimore city, Maryland",2820,2804,16,16,,
64,24510140200,"Census Tract 1402, Baltimore city, Maryland",2856,2853,3,3,,
150,24510270102,"Census Tract 2701.02, Baltimore city, Maryland",3752,3749,3,3,,
